ID,Is_Lead
VBENBARO,0.058056763059732494
CCMEWNKY,0.2413137810363929
VK3KGA9M,0.10073576901070422
TT8RPZVC,0.0501291914285432
SHQZEYTZ,0.040013660255292356
MZZAQMPT,0.413890160833345
Y88TW36I,0.296285197365226
3UGOAQNU,0.10554271545055251
VVUKMUJT,0.5493044282580749
9R363ZXS,0.32094158059878153
BLISM6JE,0.1161778985025052
CH8S7JK7,0.3486283853651435
EAHDPXEJ,0.2747146762441933
BNUK9PRF,0.26618709721030825
GP2PG6FJ,0.11990518820795912
WNQCSN8A,0.04491230032040437
32DN4YVZ,0.40457220933933824
GXAMDANM,0.10660517231633089
MXETLUP4,0.42086678037834085
MPXK6TVE,0.41427999917263497
LBSIME2K,0.38906761636287346
D6ORJTM6,0.09366523090462958
HGDIBAKA,0.39023302237834423
UUZYL9DZ,0.46405098985166016
AUGE3VWK,0.09904145346576654
MX7GOX6Q,0.23752344317916513
TQN6K35W,0.24583809133137663
QQDRMQQN,0.46426279732498205
UP6GC6F4,0.19491267738068077
BMHBUVHB,0.4027694927188363
KGLDW86A,0.41854922895016283
FQEOMOP4,0.15357743776842073
DYWM5MEU,0.3061481128284037
DXHGXV8F,0.11994730143640216
AVFBFQKC,0.3239841828709721
DBIDKYMV,0.3786115757020071
KYZHMEBY,0.2807804796316427
SSFEBUGF,0.10671938026871736
MGJTAG8X,0.43706652291008863
MP6BERDO,0.14461183592539487
GXZ8ED68,0.10922721359048349
ICTFGWQR,0.7873979081711622
EAYHTRKH,0.04035651532737454
6FN97QLQ,0.12530212865245247
3H5MZDDW,0.5469463253879864
2DXZZWSN,0.06645427810126885
MM4QIRE5,0.19601389037654285
HJWVYXUA,0.06257268675896299
RBRSJUP3,0.42202704909171024
YFRQKGXW,0.5101104505681124
N3SADEBV,0.19033260705856278
G2A2YYXY,0.04822866491177264
XMGA3WT3,0.22241683428734738
KVZQPSGI,0.11403990656247073
UAKARBBG,0.046068911716313915
WYKKL85Z,0.1388601305667493
GHNYYGRR,0.14397356748274293
UBAJANWT,0.09609144634192432
LSARSF7U,0.038906017953937805
4CNSJVVR,0.2792875127793647
JRHJSWYO,0.4501997382242996
FHZ8SVVI,0.28791967211709657
JUIRE47M,0.1110251648628525
GDIVN2GL,0.28631553929301923
WMF3DYE3,0.38161118694776286
MAQEHEWK,0.3513071544138853
2W8DLKFU,0.10244890053942582
AKGRML6H,0.13979086450653458
B7WUUGCY,0.054389138273516206
TLJOYATM,0.4298885117287628
UH6ZDM3W,0.10927197279459583
7IP5SSRR,0.7808941457943667
PV85PMEB,0.4500842757787865
FGDOY4NI,0.2087459265279438
7YYIXJQE,0.21618540308497217
BHW42XPW,0.4176139594796874
3PKEEAT4,0.26566342126239395
ACFPZ3LM,0.11785075747589928
6GORGNYN,0.3087480483676893
AEPQTMJK,0.3388555935110699
S6FNZFKK,0.11868367707050913
JTYNEKRQ,0.7832091964262416
GPXDPHHC,0.2912970627505247
O8TMKNNB,0.4716116418885675
XSQVHKYG,0.09147041872789712
MJ3CZRAE,0.039567765075249124
3NSQEYBJ,0.4965439677070972
SXVBASGH,0.10280474244969452
5ZIGZYSS,0.2922501487459181
FQSHBCUT,0.42705569072951927
MU45XUBP,0.2594650125493894
BVULDPBI,0.2519885057939544
82GRNPFG,0.2916057640315861
KKBNELBF,0.03978939118604759
HXQGBDGY,0.09499408398809532
28HDZICG,0.4546573439710232
GHBPKPJC,0.08861069968249811
FDWZFSSC,0.2233364626403142
FWTIWZF3,0.09958600613012995
JYMHVPMY,0.23639878190840685
AHUDO2T6,0.2952961235661458
ACDHABS3,0.31694407543899605
5NTYJJDV,0.39782576692067906
2M4VPY4V,0.37293942639586425
KAHP9XLF,0.20397314743559045
YRLEWZFQ,0.4612066212417394
JZWVLXHJ,0.08189473489987352
JZZSXUKT,0.39825861883576813
93RURE2J,0.17811918396159673
4RNB6FDV,0.3666211200143015
27E7HMMG,0.12887744394693074
2QEFQQWN,0.09750597282180434
DDTCD2XI,0.18443799100904423
VGVEYSEG,0.45991336979051434
WCXVE7RK,0.24404548823882008
RTN4R3UE,0.047743226554201296
K2PVS4RB,0.10633573069027513
Q36J686Z,0.2835981860183715
NWKHMEOF,0.36464701199987143
PVJYQQGT,0.37026139235871114
GPUMRNWC,0.10772587538644285
LXHCDSVH,0.36255318110577023
BNIUPSVK,0.4471674974275897
FW3QI3WW,0.23902695180919906
IEEUGXMY,0.11006928634427313
FVVXDLBO,0.11080661050155902
UC2JJB6Y,0.21770102241150185
3WPAHP52,0.40229962504505684
HDTCJJOE,0.45436297971009226
UCSB9GKK,0.19462808216564784
HANBFYTH,0.13930600039198857
FLUU2HNV,0.11385741037442768
64PIYWDJ,0.17284916631381017
9AHNH8ZX,0.2251932743590877
KLHUI2SE,0.4924061053473705
YRHYUJFW,0.3603367336717233
G5RWWH7F,0.2592048636186685
SCBT9BAX,0.04004533293981443
UGZGLVNB,0.24744592146607372
2RRNUFBV,0.30747316943076397
B6O59TEY,0.4237404120450531
CYHRRYH6,0.2765498562240414
GGYZVHWU,0.21691599194462216
K6AM97RN,0.20605765697975825
ATM5JQYM,0.1966685112727283
7GYZSGWA,0.08498873331274322
DFWUDQCR,0.3006021678516294
E2Z98CR3,0.17612897404264016
GD9KTSLY,0.10508143375973071
2AMRA4OD,0.13297713616582196
CFHZ3ZE6,0.5168036708327267
BOMLVM5K,0.11277334102907001
OBBEGBSY,0.1571744579442091
FJEHOK8W,0.04834239394371645
3GMAEVPJ,0.12793916373344788
WAVDLUTH,0.09766061290409443
6EN8GZX6,0.2867251760092445
VXGA3GKB,0.32941176455695265
U4MZ3U8C,0.42610682955914614
GU4RDP8S,0.2179741545158732
N3TPNHCD,0.13269279712542614
JRRHWQC8,0.3925242697071993
NZ5GBHZK,0.28923344085718067
LCUC2LAJ,0.37590528076139706
DJDSU9D2,0.5503704382618891
647K6DBR,0.19241152276820697
7NFXVESK,0.17007886612217132
EWUWF25N,0.10343872815312552
7QKYPLA8,0.06752301415805785
XQVXWBNO,0.10076915525297656
CNWH4MVA,0.1251405614381228
AFJUJFQD,0.17823847116157265
QKMFDX9H,0.3125404349216772
YYMB5QBY,0.2214471308963447
IRY3SEX7,0.25518532861585524
CUAUZJH8,0.3479506771430096
JYFUYQF5,0.5018434980187528
I4NYEDFE,0.2884772077691016
M3RSPRGQ,0.4055333677037434
JIL3KWQN,0.3339416248635414
