ID,Is_Lead
VBENBARO,0.0490006617603913
CCMEWNKY,0.22482290264007085
VK3KGA9M,0.07228210927360593
TT8RPZVC,0.03879554329213551
SHQZEYTZ,0.029237320722347235
MZZAQMPT,0.3671331040376087
Y88TW36I,0.2131162282450377
3UGOAQNU,0.06512631961373296
VVUKMUJT,0.9856045882644147
9R363ZXS,0.14961589278162654
BLISM6JE,0.06349265424303362
CH8S7JK7,0.25366880123254787
EAHDPXEJ,0.321061754378492
BNUK9PRF,0.3386487166087447
GP2PG6FJ,0.07506085831092302
WNQCSN8A,0.04109279216910137
32DN4YVZ,0.4234643494952161
GXAMDANM,0.06390809638688914
MXETLUP4,0.26851099001497847
MPXK6TVE,0.5950942259917134
LBSIME2K,0.3545740586936298
D6ORJTM6,0.06568688858555759
HGDIBAKA,0.47766330974092513
UUZYL9DZ,0.4461846775155731
AUGE3VWK,0.07472303416443954
MX7GOX6Q,0.32119382166245225
TQN6K35W,0.15124490536583743
QQDRMQQN,0.5147683894165663
UP6GC6F4,0.2441064905078942
BMHBUVHB,0.6371620547910414
KGLDW86A,0.37599577556349567
FQEOMOP4,0.125083245938014
DYWM5MEU,0.16653172926712814
DXHGXV8F,0.08951414306536792
AVFBFQKC,0.161348309549246
DBIDKYMV,0.42782970648486884
KYZHMEBY,0.23456541303650028
SSFEBUGF,0.06591035198025036
MGJTAG8X,0.44588190215034085
MP6BERDO,0.1517832868187816
GXZ8ED68,0.06571394028665987
ICTFGWQR,0.6518065939502045
EAYHTRKH,0.03549683761762584
6FN97QLQ,0.11117095801307353
3H5MZDDW,0.3684270581162537
2DXZZWSN,0.14110085439256911
MM4QIRE5,0.4696622653014328
HJWVYXUA,0.11157022765250363
RBRSJUP3,0.2061955104920681
YFRQKGXW,0.39238341664128584
N3SADEBV,0.14258579321477954
G2A2YYXY,0.04956368015547544
XMGA3WT3,0.41080616297554806
KVZQPSGI,0.4196498906072626
UAKARBBG,0.059950839461645644
WYKKL85Z,0.20684474114729742
GHNYYGRR,0.10831289279790689
UBAJANWT,0.06112770270032405
LSARSF7U,0.02433896884331486
4CNSJVVR,0.21225678648332927
JRHJSWYO,0.36755897978223384
FHZ8SVVI,0.173935875281055
JUIRE47M,0.07033958824218114
GDIVN2GL,0.13742702240233268
WMF3DYE3,0.5190835325721394
MAQEHEWK,0.14416336332753904
2W8DLKFU,0.08321606494331657
AKGRML6H,0.11737056214511046
B7WUUGCY,0.08928151447646078
TLJOYATM,0.4160863833880772
UH6ZDM3W,0.1016853523474476
7IP5SSRR,0.7912193177920368
PV85PMEB,0.510258356693457
FGDOY4NI,0.12741000478268014
7YYIXJQE,0.1802403437843371
BHW42XPW,0.21830655908309043
3PKEEAT4,0.3007226743806522
ACFPZ3LM,0.07152006562983006
6GORGNYN,0.30917763213726346
AEPQTMJK,0.24970654840831907
S6FNZFKK,0.058116171928836995
JTYNEKRQ,0.685210186860703
GPXDPHHC,0.1473437734860685
O8TMKNNB,0.19549383281330848
XSQVHKYG,0.0612126015431992
MJ3CZRAE,0.024962071585508658
3NSQEYBJ,0.47068548506688235
SXVBASGH,0.05413017478172302
5ZIGZYSS,0.07945313549005711
FQSHBCUT,0.3226128880976471
MU45XUBP,0.13655300584209654
BVULDPBI,0.1613974095107012
82GRNPFG,0.13709378606455686
